date,item_name,quantity,unit_price,total_price,shipping_cost,post_code,currency
2026-02-16,bear,1,3.45,3.45,2.10,EH3 6LP,GBP
2026-02-15,brick,1,7.12,7.12,1.90,G1 2FF,GBP
2026-02-14,lamp,1,9.80,9.80,2.55,SW1A 1AA,GBP
2026-02-13,apple,1,0.99,0.99,1.75,EH1 1BQ,GBP
2026-02-12,tablet,1,4.67,4.67,2.80,BT1 5GS,GBP
2026-02-11,spoon,1,1.25,1.25,1.20,AB11 6FD,GBP
2026-02-10,blanket,1,8.55,8.55,2.35,LE1 4NA,GBP
2026-02-09,helmet,1,6.40,6.40,2.75,EH5 2JL,GBP
2026-02-08,candle,1,2.33,2.33,1.95,NE1 8QH,GBP
2026-02-07,rope,1,5.72,5.72,2.60,BS1 4ST,GBP
2026-02-06,chair,1,9.20,9.20,2.90,EH12 7TG,GBP
2026-02-05,mirror,1,3.88,3.88,1.30,CF10 1EP,GBP
2026-02-04,coin,1,0.55,0.55,1.85,IV2 3UW,GBP
2026-02-03,shoe,1,7.77,7.77,2.45,LS1 9UR,GBP
2026-02-02,torch,1,6.11,6.11,2.05,NG1 4FQ,GBP
2026-02-01,pen,1,1.40,1.40,1.65,EH8 9YL,GBP
2026-01-31,wire,1,3.33,3.33,2.15,PH1 5JP,GBP
2026-01-30,clock,1,8.95,8.95,2.80,RG1 1TT,GBP
2026-01-29,flask,1,2.60,2.60,1.50,EH4 3HZ,GBP
2026-01-28,notebook,1,4.44,4.44,1.95,M1 1AE,GBP

