date,item_name,quantity,unit_price,total_price,shipping_cost,post_code,currency
2026-02-16,widget,1,3.22,3.22,2.35,EH3 6LP,GBP
2026-02-16,lantern,1,7.98,7.98,2.10,G1 2FF,GBP
2026-02-15,brick,1,5.44,5.44,1.95,SW1A 1AA,GBP
2026-02-15,compass,1,2.88,2.88,2.45,EH1 1BQ,GBP
2026-02-15,cup,1,1.77,1.77,1.80,BT1 5GS,GBP
2026-02-14,bolt,1,4.10,4.10,2.60,AB11 6FD,GBP
2026-02-14,helmet,1,8.25,8.25,2.75,LE1 4NA,GBP
2026-02-14,strap,1,0.90,0.90,1.55,EH5 2JL,GBP
2026-02-13,glove,1,3.66,3.66,2.50,NE1 8QH,GBP
2026-02-13,mirror,1,6.44,6.44,2.10,BS1 4ST,GBP
2026-02-13,torch,1,9.22,9.22,2.80,EH12 7TG,GBP
2026-02-12,coin,1,0.77,0.77,1.65,CF10 1EP,GBP
2026-02-12,rope,1,5.10,5.10,1.90,IV2 3UW,GBP
2026-02-12,flask,1,2.44,2.44,2.35,LS1 9UR,GBP
2026-02-12,glass,1,1.33,1.33,1.20,NG1 4FQ,GBP
2026-02-11,lamp,1,7.89,7.89,2.45,EH8 9YL,GBP
2026-02-11,wire,1,3.11,3.11,2.05,PH1 5JP,GBP
2026-02-11,blanket,1,8.99,8.99,2.95,RG1 1TT,GBP
2026-02-11,bottle,1,4.30,4.30,1.10,EH4 3HZ,GBP
2026-02-10,spoon,1,1.40,1.40,1.90,M1 1AE,GBP
2026-02-10,plate,1,2.90,2.90,2.50,EH3 8HT,GBP
2026-02-10,knife,1,3.44,3.44,2.60,G2 7HF,GBP
2026-02-10,chair,1,9.12,9.12,2.40,EH9 2BL,GBP
2026-02-09,book,1,4.20,4.20,2.95,LS2 3FA,GBP
2026-02-09,pen,1,1.33,1.33,1.20,NE2 1AN,GBP
2026-02-09,clock,1,6.80,6.80,2.70,EH10 4AX,GBP
2026-02-09,kettle,1,7.44,7.44,2.30,M3 2FE,GBP
2026-02-08,tablet,1,4.99,4.99,2.55,EH11 3XX,GBP
2026-02-08,ball,1,2.11,2.11,1.40,G3 7UE,GBP
